feature,importance
minus_di,0.15951159951159952
dca_count,0.09401709401709402
total_recovery_volume,0.08717948717948719
trend_bearish,0.07726495726495726
trend_strength,0.07179487179487179
had_dca,0.07032967032967033
vwap_band_2,0.05274725274725275
at_weekly_bearish_fvg,0.046153846153846156
di_spread,0.04583987441130299
adx,0.04249084249084249
plus_di,0.028571428571428574
confluence_score,0.02847374847374847
at_weekly_bullish_fvg,0.028083028083028084
vwap_band_1,0.025641025641025644
htf_total_score,0.02564102564102564
vwap_distance_pct,0.02197802197802198
trend_bullish,0.01733821733821734
at_prev_day_poc,0.01562881562881563
vwap_above,0.013040293040293038
at_daily_bullish_fvg,0.012063492063492063
day_of_week,0.011721611721611722
day_of_month,0.008791208791208791
at_poc,0.008791208791208791
partial_close_count,0.0030769230769230774
hour,0.002197802197802198
at_prev_day_high,0.0013186813186813195
is_session_open,0.00031397174254316803
at_weekly_hvn,0.0
at_prev_day_low,0.0
at_prev_day_val,0.0
at_swing_low,0.0
at_prev_day_vah,0.0
at_lvn,0.0
above_vah,0.0
at_swing_high,0.0
below_val,0.0
vwap_band_3,0.0
vwap_below,0.0
vwap_at,0.0
vwap_band_score,0.0
at_prev_week_low,0.0
at_prev_week_high,0.0
at_daily_hvn,0.0
regime_trending,0.0
at_daily_bearish_fvg,0.0
regime_strong,0.0
regime_ranging,0.0
weekly_hvn_count,0.0
is_session_close,0.0
session_sydney,0.0
week_of_year,0.0
is_overlap,0.0
had_hedge,0.0
session_ny,0.0
session_london,0.0
session_tokyo,0.0
grid_count,0.0
had_grid,0.0
hedge_count,0.0
had_partial_close,0.0
partial_profit_contribution,0.0
atr_14,0.0
atr_percentile,0.0
recovery_cost,0.0
momentum_20_pct,0.0
distance_from_high_pct,0.0
distance_from_low_pct,0.0
distance_to_swing_pct,0.0
htf_aligned,0.0
htf_factors_count,0.0
signal_conviction,0.0
recent_range_pips,0.0
trades_last_hour,0.0
trades_today,0.0
minutes_since_last_trade,0.0
win_streak,0.0
spread_pips,0.0
spread_percentile,0.0
spread_vs_avg_pct,0.0
open_position_count,0.0
slippage_pips,0.0
risk_percent,0.0
account_drawdown,0.0
position_vs_avg,0.0
daily_volume_used,0.0
margin_level_pct,0.0
direction_sell,0.0
direction_buy,0.0
